crisis_nm,date_month,date_year,glide,url
Tropical Cyclone Mekunu ,May,2018,TC-2018-000062-OMN,https://api.reliefweb.int/v1/disasters/45829
Tropical Cyclone Sagar ,May,2018,TC-2018-000059-SOM,https://api.reliefweb.int/v1/disasters/45784
DR Congo: Ebola Outbreak ,May,2018,EP-2018-000049-COD,https://api.reliefweb.int/v1/disasters/45724
El Salvador: Earthquake ,May,2018,EQ-2018-000053-SLV,https://api.reliefweb.int/v1/disasters/45789
Burundi: Floods ,Apr,2018,FL-2018-000054-BDI,https://api.reliefweb.int/v1/disasters/45774
India: Severe Local Storm ,May,2018,ST-2018-000047-IND,https://api.reliefweb.int/v1/disasters/45714
Tanzania: Floods ,Apr,2018,FL-2018-000043-TZA,https://api.reliefweb.int/v1/disasters/45654
Bangladesh: Floods and Landslides ,Apr,2018,FL-2018-000105-BGD,https://api.reliefweb.int/v1/disasters/45604
Ethiopia: Flash Floods ,Apr,2018,FF-2018-000042-ETH,https://api.reliefweb.int/v1/disasters/45599
Somalia: Flash Floods ,Apr,2018,FF-2018-000041-SOM,https://api.reliefweb.int/v1/disasters/45579
Colombia: Floods ,Apr,2018,FL-2018-000058-COL,https://api.reliefweb.int/v1/disasters/45494
Tropical Cyclone Keni ,Apr,2018,TC-2018-000037-FJI,https://api.reliefweb.int/v1/disasters/45504
Afghanistan: Drought ,Apr,2018,DR-2018-000052-AFG,https://api.reliefweb.int/v1/disasters/45704
Russian Federation: Floods ,Mar,2018,FL-2018-000046-RUS,https://api.reliefweb.int/v1/disasters/45619
Uruguay: Drought ,Mar,2018,DR-2018-000033-URY,https://api.reliefweb.int/v1/disasters/45404
Belarus: Floods ,Mar,2018,FL-2018-000034-BLR,https://api.reliefweb.int/v1/disasters/45444
Vanuatu: Monaro Volcano ,Mar,2018,VO-2018-000044-VUT,https://api.reliefweb.int/v1/disasters/45424
Tropical Storm Eliakim ,Mar,2018,TC-2018-000023-MDG,https://api.reliefweb.int/v1/disasters/45344
Rwanda: Floods ,Mar,2018,FL-2018-000029-RWA,https://api.reliefweb.int/v1/disasters/45414
Kenya: Floods ,Mar,2018,FF-2018-000030-KEN,https://api.reliefweb.int/v1/disasters/45374
Papua New Guinea: Earthquakes ,Feb,2018,EQ-2018-000020-PNG,https://api.reliefweb.int/v1/disasters/45224
Botswana: Floods ,Feb,2018,FL-2018-000028-BWA,https://api.reliefweb.int/v1/disasters/45409
Uganda: Cholera Outbreak ,Feb,2018,EP-2018-000021-UGA,https://api.reliefweb.int/v1/disasters/45229
DR Congo: Polio Outbreak ,Feb,2018,EP-2018-000104-COD,https://api.reliefweb.int/v1/disasters/45174
Tropical Cyclone Gita ,Feb,2018,TC-2018-000102-TON,https://api.reliefweb.int/v1/disasters/45109
Mongolia: Dzud ,Jan,2018,CW-2018-000011-MNG,https://api.reliefweb.int/v1/disasters/44979
