,fts_fts.uid,fts_has_plan,fts_no_plan,fts_sc_total,fts_all_total
0,AFG2008,0,5591549,5591549,545858739
1,AFG2009,25472179,3513009,28985188,607221589
2,AFG2010,31890043,3900869,35790912,541932989
3,AFG2011,8163742,9171957,17335699,597155660
4,AFG2012,11385904,1195950,12581854,451615156
5,AFG2013,32521337,149591,32670928,301588421
6,AFG2014,19520480,944681,20465161,502716700
7,AFG2015,5470535,1936544,7407079,494685402
8,AFG2016,14039028,408879,14447907,354633642
9,AFG2017,28094066,4127689,32221755,323034522
10,AFG2018,5470208,3019324,8489532,194119703
11,BEN2010,1638869,1423116,3061985,10019476
12,BFA2009,968253,1455723,2423976,78848327
13,BGD2007,0,13419063,13419063,289071744
14,BGD2009,0,4921148,4921148,32367563
15,BGD2012,0,610252,610252,34915291
16,BGD2013,0,241470,241470,33194734
17,BGD2014,0,19318,19318,40524221
18,BGD2015,0,6911,6911,41980125
19,BGD2016,0,1920338,1920338,35155381
20,BGD2017,39822025,15654006,55476031,102529311
21,BGD2018,21985593,2246442,24232035,176521981
22,CAF2007,1158174,589370,1747544,75228161
23,CAF2009,582324,127429,709753,93034616
24,CAF2010,0,700280,700280,100217033
25,CAF2012,200000,0,200000,116329545
26,CAF2013,316428,773410,1089838,149651638
27,CAF2014,7588191,1526477,9114668,249475348
28,CAF2015,5551409,1243868,6795277,317396003
29,CAF2016,1429001,874098,2303099,186621508
30,CAF2017,12476966,2709921,15186887,238954546
31,CAF2018,2252497,0,2252497,129323694
32,CHL2010,0,9283188,9283188,65414825
33,CIV2011,2007881,197183,2205064,139448833
34,COD2006,6172648,2303036,8475684,268824314
35,COD2007,11573637,643211,12216848,352115010
36,COD2008,17981818,0,17981818,423773480
37,COD2009,18684546,0,18684546,537911952
38,COD2010,34365334,487740,34853074,449171963
39,COD2011,9840692,0,9840692,472118518
40,COD2012,11611145,2892138,14503283,465777237
41,COD2013,7785023,436701,8221724,455490448
42,COD2014,1624894,181917,1806811,346869237
43,COD2015,12288843,0,12288843,358368795
44,COD2016,8447214,73864,8521078,401082669
45,COD2017,12509329,11336267,23845596,288176286
46,COD2018,17397839,3135482,20533321,352259551
47,COL2012,0,268260,268260,61032382
48,COL2013,0,717080,717080,61975273
49,COL2014,0,1311232,1311232,92639505
50,COL2015,0,6296363,6296363,45310027
51,ECU2016,6430682,2381512,8812194,36194349
52,ETH2007,0,1546029,1546029,274450797
53,ETH2013,0,4556314,4556314,510721080
